"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-05-04","0.00","0.0","0.0",,"73","51"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-05-05","0.00","0.0","0.0",,"79","56"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-05-06","0.00","0.0","0.0",,"84","50"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-05-07","0.00","0.0","0.0",,"92","52"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-05-08","0.00","0.0","0.0",,"93","56"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-05-09","0.00","0.0","0.0",,"97","60"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-05-10","0.00","0.0","0.0",,"100","62"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-05-11","0.00","0.0","0.0",,"103","64"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-05-12","0.00","0.0","0.0",,"99","73"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-05-13","0.00","0.0","0.0",,"95","68"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-05-14","0.00","0.0","0.0",,"91","62"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-05-15","0.00","0.0","0.0",,"89","61"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-05-16","0.00","0.0","0.0",,"86","59"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-05-17","0.00","0.0","0.0",,"90","59"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-05-18","0.00","0.0","0.0",,"88","58"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-05-19","0.00","0.0","0.0",,"75","52"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-05-20","0.00","0.0","0.0",,"88","47"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-05-21","0.00","0.0","0.0",,"89","65"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-05-22","0.00","0.0","0.0",,"80","57"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-05-23","0.00","0.0","0.0",,"77","54"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-05-24","0.00","0.0","0.0",,"77","53"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-05-25","0.00","0.0","0.0",,"84","50"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-05-26","0.00","0.0","0.0",,"92","53"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-05-27","0.00","0.0","0.0",,"95","68"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-05-28","0.00","0.0","0.0",,"94","62"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-05-29","0.00","0.0","0.0",,"97","59"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-05-30","0.00","0.0","0.0",,"98","65"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-05-31","0.00","0.0","0.0",,"99","64"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-06-01","0.00","0.0","0.0",,"103","69"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-06-02","0.00","0.0","0.0",,"103","76"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-06-03","0.00","0.0","0.0",,"104","72"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-06-04","0.00","0.0","0.0",,"104","76"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-06-05","0.00","0.0","0.0",,"98","74"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-06-06","0.00","0.0","0.0",,"94","73"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-06-07","0.00","0.0","0.0",,"97","65"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-06-08","0.00","0.0","0.0",,"93","70"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-06-09","0.00","0.0","0.0",,"95","63"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-06-10","0.00","0.0","0.0",,"97","60"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-06-11","0.00","0.0","0.0",,"101","65"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-06-12","0.00","0.0","0.0",,"104","67"
